order_dow,order_hour_of_day,order count
0,0,3841
0,1,2336
0,2,1376
0,3,933
0,4,782
0,5,1142
0,6,3254
0,7,12097
0,8,27445
0,9,39764
0,10,47244
0,11,49711
0,12,50144
0,13,52414
0,14,53077
0,15,52538
0,16,48173
0,17,38674
0,18,28755
0,19,22014
0,20,17795
0,21,14075
0,22,10945
0,23,6708
1,0,3594
1,1,1791
1,2,1091
1,3,728
1,4,791
1,5,1581
1,6,5282
1,7,16294
1,8,33561
1,9,51027
1,10,54719
1,11,50640
1,12,46153
1,13,45832
1,14,45853
1,15,45504
1,16,43868
1,17,36005
1,18,28381
1,19,21699
1,20,15979
1,21,11716
1,22,8781
1,23,5507
2,0,3007
2,1,1543
2,2,928
2,3,709
2,4,731
2,5,1377
2,6,4670
2,7,13012
2,8,24227
2,9,35635
2,10,38486
2,11,37437
2,12,35018
2,13,35957
2,14,36387
2,15,36711
2,16,36762
2,17,31438
2,18,25899
2,19,19680
2,20,14780
2,21,10458
2,22,7971
2,23,5251
3,0,2870
3,1,1460
3,2,932
3,3,635
3,4,691
3,5,1322
3,6,4467
3,7,12157
3,8,22124
3,9,31694
3,10,35316
3,11,34543
3,12,32789
3,13,33439
3,14,34060
3,15,35208
3,16,34538
3,17,29786
3,18,24454
3,19,18862
3,20,13544
3,21,10077
3,22,8041
3,23,5078
4,0,2571
4,1,1477
4,2,870
4,3,669
4,4,718
4,5,1306
4,6,4313
4,7,12274
4,8,21392
4,9,30779
4,10,34305
4,11,33132
4,12,31519
4,13,32021
4,14,32930
4,15,33435
4,16,33363
4,17,28722
4,18,23854
4,19,18921
4,20,13883
4,21,10583
4,22,8621
4,23,5513
5,0,3124
5,1,1626
5,2,996
5,3,825
5,4,896
5,5,1530
5,6,4757
5,7,13132
5,8,23476
5,9,33503
5,10,37587
5,11,37087
5,12,34944
5,13,35514
5,14,36561
5,15,36660
5,16,35047
5,17,29269
5,18,23719
5,19,18301
5,20,13052
5,21,9320
5,22,7304
5,23,5158
6,0,3217
6,1,1870
6,2,1182
6,3,844
6,4,784
6,5,1116
6,6,3170
6,7,11066
6,8,22439
6,9,30127
6,10,34813
6,11,36066
6,12,36261
6,13,36708
6,14,37791
6,15,37151
6,16,34693
6,17,29539
6,18,23494
6,19,17864
6,20,13054
6,21,10257
6,22,8319
6,23,5924
